Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Pathira Vasan Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319862.png","Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18."
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329900/329936.png","Known for his ability to generate awkward bounce from a height of 6'7"", and swing the ball, Binura Fernando has been among the leading schoolboy-cricket names over the past two years, claiming 84 wickets in the 2013 season. A left-arm seamer, Fernando was called up to Sri Lanka's Test squad during the 2014 home series against Pakistan despite not having played first-class cricket. He was chosen largely on the strength of his performances for DS Senanayake College and the Sri Lanka Under-19 team."
Kashyap Harishbhai Prajapati,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,,
Jatinder Singh,Oman,Jati,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321771.png",
Shoaib Khan,Oman,Right hand Bat,Right arm Medium,Batter,,
Ayaan Khan,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,,
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321792.png",
Mohammad Nadeem,Oman,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321777.png","Debuting as a 31-year-old in 2014 for his adopted country of Oman, Mohammad Nadeem took a while to get going, making his first half-century in international cricket shortly before his 36th birthday, against Hong Kong at the 2018 Asia Cup Qualifier in Malaysia. "
Muhammad Naseem Khushi,Oman,Right hand Bat,Wicketkeeper,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321778.png",
Khurram Nawaz Khan,Oman,Right hand Bat,Middle order Batter,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321775.png",
Pradeep Singh Airee,Nepal,Right hand Bat,Right arm Medium,Occasional Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321751.png",
Aasif Sheikh,Nepal,Right hand Bat,Wicketkeeper,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330462.png",
Gyanendra Malla,Nepal,Right hand Bat,Top order Batter,Nepal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330441.png","Gyanendra Malla is a right-hand batsman who plays for the Yangal Club. He was part of Nepal's campaign in the Under-19 World Cup in 2006 and scored 145 runs in six innings, including 45 in the famous two-run win against South Africa in the Plate semi-final. He has been appointed vice-captain for the U-19 World Cup in 2008. Cricinfo staff February 2008"
Dipendra Singh Airee,Nepal,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330438.png","One of the rising stars of Nepal's post-Paras Khadka generation, Dipendra Singh Airee packs a powerful punch with the bat, arriving to the crease with a trademark do-rag creeping out from under his helmet. "
Aarif Sheikh,Nepal,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/349200/349282.png",
Sharad Vesawkar,Nepal,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330469.png",
